ID_T,ID_Country,Date,ID_Store,ID_Client,ID_Product,Quantity,Price
1,9,10/24/2019,1,551,291,155,233
2,2,6/17/2019,153,774,710,25,415
3,10,3/4/2019,159,356,962,445,58
4,1,5/15/2019,74,500,768,8,179
5,6,7/14/2019,61,1,649,36,85
6,10,8/13/2019,166,561,987,119,228
7,8,6/13/2019,1,233,535,56,301
8,8,8/10/2019,5,547,101,15,241
9,4,12/6/2019,11,282,383,155,760
10,1,8/22/2019,81,266,1,23,195
11,6,10/15/2019,84,678,327,324,64
12,3,5/11/2019,118,1,459,118,210
13,9,6/7/2019,77,1,920,323,189
14,6,2/3/2019,21,534,695,256,251
15,2,3/25/2019,110,871,431,347,504
16,7,9/8/2019,94,337,406,36,46
17,4,5/21/2019,196,59,391,49,393
18,3,6/10/2019,96,246,630,277,126
19,1,8/26/2019,132,482,392,15,236
20,6,2/7/2019,151,567,833,7,64
21,2,9/20/2019,22,316,130,2,538
22,8,10/11/2019,110,787,83,99,205
23,6,9/27/2019,73,144,705,121,160
24,2,11/2/2019,152,383,463,252,209
25,5,1/28/2019,20,561,171,260,31
26,6,10/24/2019,56,830,751,140,203
27,4,9/3/2019,19,31,324,103,239
28,4,10/25/2019,97,243,342,24,387
29,4,6/13/2019,174,560,756,474,266
30,7,6/9/2019,18,604,411,490,93
31,1,1/14/2019,125,331,151,135,67
32,1,3/21/2019,27,29,347,280,278
33,7,5/13/2019,82,806,827,88,579
34,1,4/28/2019,69,471,414,91,55
35,6,3/19/2019,110,775,542,219,154
36,4,7/24/2019,125,466,682,116,298
37,5,2/25/2019,60,144,531,64,176
38,5,6/19/2019,176,455,192,350,225
39,8,9/10/2019,157,155,808,28,288
40,2,6/29/2019,14,754,381,237,121
41,3,7/6/2019,36,47,716,70,450
42,4,1/25/2019,95,710,753,113,723
43,9,6/29/2019,19,604,714,9,131
44,6,10/2/2019,56,937,803,356,127
45,9,2/17/2019,57,340,435,265,38
46,8,8/16/2019,71,101,187,12,131
47,1,4/29/2019,109,471,1,30,115
48,5,7/3/2019,58,479,140,68,290
49,7,9/1/2019,182,625,442,91,53
50,9,3/21/2019,141,473,157,115,99
51,9,1/3/2019,12,493,758,225,99
52,1,6/15/2019,162,642,906,447,126
53,3,2/13/2019,191,758,697,114,15
54,3,2/27/2019,34,485,407,31,222
55,8,11/2/2019,170,474,189,458,113
56,5,2/1/2019,155,208,448,67,264
57,8,8/9/2019,76,371,861,77,280
58,7,1/27/2019,67,826,260,74,144
59,5,5/28/2019,2,706,842,37,212
60,6,1/9/2019,163,705,439,23,124
61,5,2/12/2019,143,298,799,44,179
62,1,5/16/2019,50,894,116,128,191
63,7,2/20/2019,181,547,246,241,61
64,6,1/21/2019,153,235,380,112,159
65,4,9/23/2019,117,201,80,117,91
66,8,1/8/2019,181,221,950,238,134
67,6,4/13/2019,155,794,384,27,99
68,6,11/26/2019,32,590,101,106,209
69,7,7/14/2019,38,942,472,2,342
70,4,4/27/2019,151,847,823,24,88
71,2,1/3/2019,32,360,189,275,873
72,7,3/30/2019,147,139,259,16,663
73,9,6/5/2019,159,317,452,284,242
74,7,1/11/2019,42,199,366,162,277
75,7,1/31/2019,86,545,51,154,167
76,1,7/25/2019,187,943,840,54,243
77,1,6/30/2019,53,167,695,10,103
78,8,6/20/2019,23,106,292,205,169
79,5,5/19/2019,60,768,311,50,122
80,10,1/2/2019,83,689,660,115,951
81,8,4/24/2019,104,213,584,98,138
82,1,8/14/2019,58,635,891,38,112
83,2,6/22/2019,60,935,762,297,607
84,4,2/9/2019,103,755,858,27,435
85,6,8/28/2019,16,430,700,66,123
86,1,3/12/2019,197,563,533,315,28
87,3,5/29/2019,58,19,154,56,440
88,7,11/2/2019,157,42,407,32,251
89,8,8/5/2019,105,568,331,119,232
90,7,11/22/2019,87,697,164,32,196
91,9,2/24/2019,191,329,685,222,12
92,9,12/13/2019,98,197,603,464,284
93,8,6/5/2019,4,630,965,6,287
94,2,12/21/2019,60,554,809,22,56
95,7,12/5/2019,64,393,511,375,362
96,5,4/24/2019,16,389,574,100,175
97,8,4/17/2019,162,397,798,95,209
98,9,9/10/2019,40,736,71,34,286
99,10,11/25/2019,45,176,238,473,259
100,4,9/26/2019,144,632,774,99,248
101,10,8/10/2019,145,852,224,47,554
102,5,7/10/2019,42,551,631,19,20
103,8,10/2/2019,168,610,426,97,150
104,1,12/31/2019,155,363,486,280,203
105,2,11/4/2019,130,855,342,61,427
106,9,12/19/2019,73,392,748,224,217
107,7,7/6/2019,36,265,89,128,228
108,8,10/29/2019,63,810,320,406,54
109,5,8/4/2019,16,470,454,79,11
110,5,7/11/2019,28,312,761,82,290
111,10,11/9/2019,112,577,192,461,320
112,8,5/21/2019,120,729,716,90,229
113,4,5/9/2019,111,485,566,38,334
