ID_T,ID_Country,Date,ID_Store,ID_Client,ID_Product,Quantity,Price
1,6,7/6/2020,4,124,675,4,88
2,8,7/24/2020,70,498,214,33,28
3,4,6/22/2020,76,752,183,88,218
4,8,1/31/2020,62,808,361,104,14
5,6,11/12/2020,170,323,411,28,54
6,6,3/15/2020,95,461,807,104,69
7,8,7/19/2020,130,759,220,2,43
8,1,11/12/2020,29,693,83,93,403
9,1,10/26/2020,107,559,292,25,187
10,9,6/8/2020,89,346,285,73,59
11,4,6/7/2020,43,240,934,17,273
12,8,12/19/2020,182,6,4,37,87
13,5,10/16/2020,8,422,121,7,33
14,6,6/26/2020,49,680,487,86,54
15,1,5/13/2020,180,155,792,16,361
16,9,4/27/2020,78,822,66,37,45
17,10,3/8/2020,84,225,403,81,160
18,5,8/31/2020,161,224,826,29,26
19,2,11/11/2020,74,55,714,26,139
20,10,10/3/2020,9,367,534,80,495
21,8,7/1/2020,64,536,846,32,39
22,1,6/6/2020,103,245,798,5,135
23,9,7/19/2020,121,454,571,40,59
24,1,12/21/2020,112,35,504,61,367
25,10,8/11/2020,90,749,862,50,322
26,7,2/2/2020,143,246,475,85,2
27,6,10/14/2020,84,460,690,58,61
28,9,1/5/2020,62,167,400,77,71
29,6,1/11/2020,19,512,68,93,3
30,2,12/3/2020,42,338,5,102,20
31,9,5/17/2020,191,141,349,6,78
32,3,10/14/2020,177,524,472,12,202
33,2,8/23/2020,124,200,777,37,637
34,5,2/28/2020,145,765,117,127,83
35,6,6/14/2020,39,58,280,88,67
36,1,3/2/2020,113,766,301,37,100
37,8,9/7/2020,196,437,515,28,83
38,1,6/17/2020,97,480,616,100,446
39,4,1/16/2020,83,784,169,16,182
40,2,4/28/2020,169,921,294,21,203
41,7,2/11/2020,41,679,503,148,312
42,4,1/16/2020,125,471,887,155,375
43,5,2/7/2020,152,536,153,7,40
44,6,5/7/2020,183,915,188,31,58
45,8,8/21/2020,176,633,170,39,63
46,4,4/26/2020,153,431,395,35,352
47,8,11/1/2020,135,391,323,97,29
48,1,9/13/2020,36,95,544,37,38
49,2,4/14/2020,141,731,644,25,362
50,10,11/24/2020,91,191,177,86,580
51,9,3/31/2020,89,21,225,54,4
52,6,4/18/2020,144,552,258,32,78
53,3,4/6/2020,186,710,261,25,190
54,8,3/2/2020,143,187,352,30,86
55,9,10/14/2020,137,57,355,95,14
56,2,6/24/2020,171,949,47,69,150
57,2,6/7/2020,178,83,57,17,574
58,2,8/8/2020,103,41,619,28,160
59,5,1/17/2020,165,674,664,117,13
60,7,12/14/2020,116,799,960,8,322
61,2,12/9/2020,102,516,271,30,499
62,3,11/10/2020,53,931,751,90,370
63,4,12/31/2020,128,163,58,71,55
64,2,12/23/2020,23,929,875,93,306
65,9,7/30/2020,155,602,845,26,65
66,2,12/28/2020,68,373,102,57,82
67,5,11/29/2020,145,150,890,30,41
68,5,9/20/2020,71,169,996,42,96
69,5,1/31/2020,52,137,928,164,92
70,3,8/23/2020,113,286,102,42,276
71,7,6/25/2020,199,380,474,11,277
72,8,7/17/2020,85,565,355,22,65
73,5,11/28/2020,122,592,367,51,19
74,3,10/27/2020,145,826,761,29,290
75,2,5/27/2020,44,135,570,17,623
76,10,8/25/2020,29,261,313,4,529
77,6,10/27/2020,13,844,215,54,90
78,3,7/30/2020,9,858,167,2,4
79,2,6/23/2020,91,614,896,37,305
80,2,4/12/2020,105,623,60,33,696
81,4,6/29/2020,183,496,226,25,349
82,3,12/20/2020,143,330,984,69,212
83,1,12/23/2020,125,655,622,11,598
84,3,2/7/2020,61,63,111,26,6
85,3,5/10/2020,13,351,360,16,294
86,9,10/29/2020,74,746,957,37,99
87,5,8/29/2020,191,61,869,37,26
88,6,3/23/2020,80,1,813,3,92
89,4,6/1/2020,91,1,279,24,175
90,9,10/17/2020,120,1,408,77,28
91,10,9/6/2020,104,1,214,3,561
92,10,8/4/2020,89,1,839,38,535
93,2,4/13/2020,127,1,1,45,529
94,4,7/18/2020,91,1,1,50,390
95,5,12/21/2020,141,1,1,102,28
96,8,2/25/2020,55,1,1,63,8
97,6,8/1/2020,46,1,1,7,82
98,5,12/9/2020,186,1,1,90,92
99,10,9/7/2020,146,1,1,47,347
100,8,9/5/2020,84,1,1,40,32
101,6,1/27/2020,86,1,1,18,54
102,9,12/18/2020,95,1,1,54,59
103,5,3/29/2020,30,1,1,85,90
104,5,9/4/2020,125,1,1,33,39
105,1,1/17/2020,102,62,1,159,138
106,3,10/6/2020,98,226,1,65,279
107,4,7/18/2020,67,699,1,39,379
108,7,1/7/2020,66,654,1,75,71
109,8,8/6/2020,65,820,1,48,90
110,10,5/23/2020,167,774,1,25,465
111,9,6/30/2020,197,585,1,44,75
112,8,6/24/2020,38,270,1,21,2
113,4,2/28/2020,161,232,1,123,19
114,1,6/30/2020,66,403,1,92,72
115,7,1/12/2020,130,771,1,139,167
116,8,11/6/2020,108,561,1,3,18
117,5,1/7/2020,92,171,1,143,91
118,4,11/23/2020,44,735,365,110,132
119,4,9/11/2020,35,229,865,9,283
120,10,7/15/2020,188,431,553,26,267
121,3,11/23/2020,175,386,279,104,23
122,7,8/22/2020,147,679,593,33,345
123,8,12/28/2020,50,320,89,51,43
124,6,5/5/2020,129,575,784,13,34
125,4,3/13/2020,45,882,543,18,360
126,2,10/30/2020,107,704,711,24,648
127,9,11/24/2020,180,521,481,78,94
128,8,3/2/2020,24,163,665,41,17
129,9,9/10/2020,147,490,879,19,19
130,2,12/31/2020,51,459,321,42,665
131,7,11/1/2020,192,798,649,63,284
132,8,12/4/2020,102,157,651,2,96
133,8,5/30/2020,50,192,683,43,45
134,6,6/20/2020,191,204,104,67,8
135,6,8/8/2020,124,182,154,45,80
136,10,7/15/2020,39,944,23,41,181
137,2,12/5/2020,130,748,56,94,421
138,2,7/31/2020,135,331,319,31,422
139,8,9/8/2020,172,93,8,6,32
140,5,3/23/2020,48,906,392,51,58
141,10,3/24/2020,84,322,297,104,256
